Model,Precision,Recall,F-Measure,Accuracy
BtLLDA,0.266176896141,0.874712351102,0.408151825638,0.61987578373
BtLLDA-pca,0.265320245729,0.875861776005,0.407268347336,0.617981192559
BtLLDA-pcaW,0.271653452659,0.872413501296,0.414300809587,0.630382152945
BtLLDA-scale,0.215957074838,0.880459475616,0.346841315681,0.50310007343
BtLLDA-scale-pca,0.26985806598,0.874712351102,0.412465626582,0.626592970605
BtLLDA-scale-pcaW,0.270781215387,0.872413501296,0.413285642613,0.628832032897
BtLLDA-down,0.270354528063,0.850191286507,0.409351562915,0.632047096701
BtLLDA-down-pca,0.260039076192,0.881608753585,0.401017848128,0.602996598261
BtLLDA-down-pcaW,0.272957066062,0.867815223141,0.41529074959,0.633826441613
BtLLDA-scale-down,0.259599002356,0.847509295067,0.397440665602,0.614938364317
BtLLDA-scale-down-pca,0.273987813317,0.870497793125,0.416734788064,0.634745453822
BtLLDA-scale-down-pcaW,0.274105005599,0.845210445261,0.413868173269,0.641118169576
BtLQDA,0.286659220717,0.597700949505,0.387480803491,0.716844404524
BtLQDA-pca,0.288323091337,0.598850374408,0.389241119676,0.718394524572
BtLQDA-pcaW,0.288268060174,0.593103249893,0.387969355009,0.719600173499
BtLQDA-scale,0.286659220717,0.597700949505,0.387480803491,0.716844404524
BtLQDA-scale-pca,0.289662700411,0.602298649116,0.391190173553,0.719083466816
BtLQDA-scale-pcaW,0.287978045926,0.605746923825,0.390369803168,0.716499933402
BtLQDA-down,0.271873805037,0.691570649908,0.390161041889,0.676254224002
